Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
Non-stick Rice Cooker in Black 3 Cup / 5 Cup / 8 Cup|Kitchen Appliances|||GAU-00011<br>GAU-00012<br>GAU-00013|Available in 3 sizes:  3 Cup / 5 Cup / 8 Cup<br>Removable Non-Stick Cooking Bowl<br>Black|||Other Kitchen Appliance|product63
4 Cup Espresso & Cappuccino Maker|Kitchen Appliances|||GAU-18200|Prepares up to 4 cups<br>Glass Carafe with Lid<br>Milk Frother<br>Black|||Other Kitchen Appliance|product64
Bistro 4 Cup Espresso Maker|Kitchen Appliances|||GAU-18201|Prepares up to 4 cups<br>Glass Carafe with Lid<br>Silver & Black |||Other Kitchen Appliance|product65
Panini Press|Kitchen Appliances|||GAU-80102|Silver Exterior with Black Handle <br>Non-Stick Cooking Surface<br>On & Heat-Ready Indicator Lights|||Other Kitchen Appliance|product66
Panini Maker with Setting Dial|Kitchen Appliances|||GAU-80103|Silver Exterior with Black Handle<br>Non-Stick Cooking Surface<br>On & Heat-Ready Indicator Lights|||Other Kitchen Appliance|product67
Arepa Maker|Kitchen Appliances|||GAU-80300|Prepares up to 4 Arepas<br>Non-Stick Cooking Surface<br>White|||Other Kitchen Appliance|product68
Sandwich Maker in White|Kitchen Appliances|||GAU-80301|Prepares up to 2 Sandwiches<br>Non-Stick Cooking Surface<br>White|||Other Kitchen Appliance|product69
Cuban Sandwich Maker|Kitchen Appliances|||GAU-80302|Silver Exterior with Black Handles <br>Setting Dial <br>Non-Stick Cooking Surface|||Other Kitchen Appliance|product70
Electric Empanada Maker|Kitchen Appliances||| GAU-80303 |Non-Stick Cooking Surface<br>On & Heat-Ready Indicator Lights |||Other Kitchen Appliance|product71
Electric Single Burner (1100 W)|Kitchen Appliances|||GAU-80305|1100 Watts|||Other Kitchen Appliance|product72
Electric Double Burner (1500 W)|Kitchen Appliances|||GAU-80306|2 Burners<br>1500 watts <br>Setting Dial <br>Black  |||Other Kitchen Appliance|product73
Bamboo Mortar in Small & Large |Kitchen Gadgets |||BAM-10003<br>BAM-10004|Available in 2 Sizes<br>Made of Bamboo|||Molcajetes<br>Other Salsa Dishes|product74
